team2Score,team1Score,team1,team2
105,97,Orlando Magic,Washington Wizards
109,100,Indiana Pacers,Atlanta Hawks
103,100,Cleveland Cavaliers,Brooklyn Nets
95,98,New Orleans Hornets,Charlotte Bobcats
87,77,Washington Wizards,Chicago Bulls
101,83,Boston Celtics,Golden State Warriors
94,124,Oklahoma City Thunder,Houston Rockets
81,72,Denver Nuggets,Memphis Grizzlies
104,85,Miami Heat,Milwaukee Bucks
111,107,Phoenix Suns,Minnesota Timberwolves
88,123,Toronto Raptors,Orlando Magic
89,85,Philadelphia 76ers,Portland Trail Blazers
86,111,San Antonio Spurs,Dallas Mavericks
96,94,Milwaukee Bucks,Detroit Pistons
107,96,Utah Jazz,Los Angeles Clippers
118,96,Boston Celtics,Sacramento Kings
81,91,Charlotte Bobcats,Chicago Bulls
123,104,Atlanta Hawks,Houston Rockets
88,83,Memphis Grizzlies,Indiana Pacers
114,96,Phoenix Suns,Oklahoma City Thunder
110,112,Miami Heat,Orlando Magic
104,73,Brooklyn Nets,San Antonio Spurs
92,78,Los Angeles Clippers,Denver Nuggets
103,97,Sacramento Kings,Detroit Pistons
99,103,Philadelphia 76ers,Los Angeles Lakers
86,95,Atlanta Hawks,New Orleans Hornets
100,105,Portland Trail Blazers,New York Knicks
94,103,Dallas Mavericks,Washington Wizards
83,93,Memphis Grizzlies,Boston Celtics
94,97,Sacramento Kings,Cleveland Cavaliers
115,94,Los Angeles Clippers,Golden State Warriors
104,92,New Orleans Hornets,Houston Rockets
89,81,Washington Wizards,Indiana Pacers
119,109,Dallas Mavericks,Miami Heat
110,117,San Antonio Spurs,Milwaukee Bucks
93,110,Brooklyn Nets,Oklahoma City Thunder
94,96,Chicago Bulls,Orlando Magic
95,89,Philadelphia 76ers,Phoenix Suns
102,79,Portland Trail Blazers,Toronto Raptors
106,84,Minnesota Timberwolves,Utah Jazz
97,101,Minnesota Timberwolves,Denver Nuggets
100,83,San Antonio Spurs,New York Knicks
94,75,Indiana Pacers,Boston Celtics
104,106,Cleveland Cavaliers,Charlotte Bobcats
85,84,Atlanta Hawks,Detroit Pistons
107,102,Los Angeles Lakers,Los Angeles Clippers
84,86,Portland Trail Blazers,Memphis Grizzlies
89,96,Chicago Bulls,Miami Heat
101,115,Houston Rockets,Milwaukee Bucks
109,85,Philadelphia 76ers,Oklahoma City Thunder
80,87,Utah Jazz,Phoenix Suns
96,105,Sacramento Kings,Toronto Raptors
113,115,Brooklyn Nets,Washington Wizards
81,89,Boston Celtics,Atlanta Hawks
113,93,Sacramento Kings,Brooklyn Nets
104,112,Houston Rockets,Cleveland Cavaliers
96,99,New Orleans Hornets,Dallas Mavericks
110,91,Utah Jazz,Denver Nuggets
95,80,Milwaukee Bucks,Indiana Pacers
115,89,Golden State Warriors,Los Angeles Clippers
97,102,Portland Trail Blazers,Minnesota Timberwolves
106,114,New York Knicks,Orlando Magic
109,86,Philadelphia 76ers,San Antonio Spurs
101,108,Charlotte Bobcats,Detroit Pistons
105,112,Denver Nuggets,Los Angeles Lakers
99,71,Washington Wizards,Miami Heat
81,92,Memphis Grizzlies,Phoenix Suns
92,104,Oklahoma City Thunder,Toronto Raptors
118,92,Cleveland Cavaliers,Chicago Bulls
95,88,San Antonio Spurs,New Orleans Hornets
96,102,Boston Celtics,New York Knicks
125,119,Orlando Magic,Portland Trail Blazers
81,113,Memphis Grizzlies,Sacramento Kings
100,94,Dallas Mavericks,Utah Jazz
101,99,Oklahoma City Thunder,Washington Wizards
125,112,Los Angeles Lakers,Houston Rockets
87,77,Miami Heat,Indiana Pacers
108,99,Phoenix Suns,Milwaukee Bucks
108,103,Atlanta Hawks,Minnesota Timberwolves
89,109,Brooklyn Nets,Philadelphia 76ers
87,79,Phoenix Suns,Boston Celtics
102,112,Utah Jazz,Charlotte Bobcats
96,104,Milwaukee Bucks,Chicago Bulls
99,83,Atlanta Hawks,Cleveland Cavaliers
108,105,Orlando Magic,Denver Nuggets
87,94,Memphis Grizzlies,Golden State Warriors
99,93,Dallas Mavericks,Los Angeles Clippers
88,79,Houston Rockets,New Orleans Hornets
106,84,Minnesota Timberwolves,Oklahoma City Thunder
108,105,Los Angeles Lakers,San Antonio Spurs
90,72,Philadelphia 76ers,Toronto Raptors
81,76,New York Knicks,Indiana Pacers
92,90,Miami Heat,Portland Trail Blazers
112,117,Dallas Mavericks,Sacramento Kings
103,95,Utah Jazz,Atlanta Hawks
103,91,Houston Rockets,Boston Celtics
99,79,Phoenix Suns,Brooklyn Nets
98,91,Cleveland Cavaliers,Denver Nuggets
103,97,Portland Trail Blazers,Golden State Warriors
101,116,Oklahoma City Thunder,Los Angeles Lakers
101,98,San Antonio Spurs,Memphis Grizzlies
87,103,Detroit Pistons,Milwaukee Bucks
104,92,Minnesota Timberwolves,New Orleans Hornets
101,108,Chicago Bulls,New York Knicks
99,78,Charlotte Bobcats,Toronto Raptors
81,97,Phoenix Suns,Chicago Bulls
104,83,Memphis Grizzlies,Dallas Mavericks
87,90,Utah Jazz,Detroit Pistons
96,88,Charlotte Bobcats,Indiana Pacers
101,104,Orlando Magic,Los Angeles Clippers
107,100,Houston Rockets,Philadelphia 76ers
99,128,Miami Heat,Sacramento Kings
93,83,Atlanta Hawks,Washington Wizards
97,86,Indiana Pacers,Brooklyn Nets
116,105,Golden State Warriors,Denver Nuggets
113,93,Cleveland Cavaliers,Los Angeles Lakers
100,87,New Orleans Hornets,New York Knicks
83,87,Oklahoma City Thunder,Portland Trail Blazers
106,88,Minnesota Timberwolves,San Antonio Spurs
96,107,Milwaukee Bucks,Toronto Raptors
100,89,Charlotte Bobcats,Boston Celtics
97,58,Atlanta Hawks,Chicago Bulls
113,98,Minnesota Timberwolves,Dallas Mavericks
73,99,Los Angeles Clippers,Memphis Grizzlies
90,102,Oklahoma City Thunder,Phoenix Suns
124,118,Cleveland Cavaliers,Sacramento Kings
104,97,Miami Heat,Utah Jazz
120,91,Orlando Magic,Washington Wizards
113,106,Toronto Raptors,Brooklyn Nets
76,103,Indiana Pacers,Charlotte Bobcats
115,111,Portland Trail Blazers,Denver Nuggets
109,117,Los Angeles Clippers,Houston Rockets
104,88,Milwaukee Bucks,Los Angeles Lakers
99,111,New Orleans Hornets,Philadelphia 76ers
109,95,Brooklyn Nets,Atlanta Hawks
78,90,New Orleans Hornets,Boston Celtics
105,100,Houston Rockets,Dallas Mavericks
75,92,Miami Heat,Golden State Warriors
117,97,Denver Nuggets,Oklahoma City Thunder
97,86,Indiana Pacers,Orlando Magic
88,93,Cleveland Cavaliers,Portland Trail Blazers
95,94,Washington Wizards,Sacramento Kings
103,82,Memphis Grizzlies,San Antonio Spurs
105,107,Chicago Bulls,Toronto Raptors
87,102,New York Knicks,Detroit Pistons
90,99,Miami Heat,Los Angeles Lakers
77,90,Los Angeles Clippers,Minnesota Timberwolves
94,98,Milwaukee Bucks,Phoenix Suns
99,100,Chicago Bulls,Boston Celtics
94,89,Atlanta Hawks,Brooklyn Nets
114,117,Oklahoma City Thunder,Dallas Mavericks
108,112,Washington Wizards,Denver Nuggets
105,95,Houston Rockets,Indiana Pacers
85,69,Sacramento Kings,Memphis Grizzlies
100,106,Charlotte Bobcats,Orlando Magic
108,101,Toronto Raptors,Philadelphia 76ers
95,88,Golden State Warriors,San Antonio Spurs
93,98,San Antonio Spurs,Atlanta Hawks
93,97,Sacramento Kings,Charlotte Bobcats
82,85,Memphis Grizzlies,Chicago Bulls
94,87,Washington Wizards,Los Angeles Clippers
92,79,Houston Rockets,Minnesota Timberwolves
112,116,Golden State Warriors,New Orleans Hornets
104,110,Milwaukee Bucks,Portland Trail Blazers
